date,spot_close,spot_volume,perp_volume,oi_usd
2024-04-29,63866.0,1765038324.6837213,228351.4615081201,4251574492.3029313
2024-04-30,60672.0,3372142467.4322524,408693.8134533189,4399727428.652647
2024-05-01,58364.97,4705572361.7402,564285.6887468527,3989636245.695696
2024-05-02,59060.61,2778840305.0505786,299283.3004406688,3987650660.2392807
2024-05-03,62882.01,2658193708.347904,353718.33204176545,4534211126.254681
2024-05-04,63892.04,1547468697.8765798,205268.96093803123,4713080352.163997
2024-05-05,64012.0,1182572239.5306182,185553.9544416379,4647876302.113921
2024-05-06,63165.19,2218131198.4661326,305206.9126520447,4471941537.671953
2024-05-07,62312.08,1624531631.592377,239049.75593466524,4422961059.400956
2024-05-08,61193.03,1623561041.1255188,239202.24184605537,4264000620.3548265
2024-05-09,63074.01,1895849912.773476,242526.6773906775,4399158540.139984
2024-05-10,60799.99,2255550468.413852,307311.0397731989,4363101031.273776
2024-05-11,60825.99,814928013.4573288,113330.49267847264,4316547244.338685
2024-05-12,61483.99,781041632.4623835,104076.50105489948,4287262513.5364494
2024-05-13,62940.08,2041896626.6108148,261907.8960102171,4475065625.781388
2024-05-14,61577.49,1800171876.1676655,244416.8622907404,4171802912.945596
2024-05-15,66206.5,2794259631.8910465,365115.2549788533,4872909997.121446
2024-05-16,65235.21,2045507646.8293848,242445.42786190627,4721768475.612105
2024-05-17,67024.0,1745971822.3447454,227125.3672667391,4965090905.555604
2024-05-18,66915.2,967145944.6835316,96949.58876410691,5027510892.547627
2024-05-19,66274.01,1204989222.8768685,148217.03310264714,4978236277.318981
2024-05-20,71446.62,3485474763.752294,366141.9865800754,5038070141.838201
2024-05-21,70148.34,3509345769.233608,245612.2198745945,5506714453.083762
2024-05-22,69166.62,1931700812.3032143,194221.518808542,5384841608.083164
2024-05-23,67969.65,2766790260.7886024,300186.45621410623,4818694891.941196
2024-05-24,68549.99,1906438696.7156007,186739.5179481785,4816907940.081875
2024-05-25,69290.57,837339788.9838961,85140.35627849304,5016255726.740126
2024-05-26,68507.67,818914878.9908898,84096.2472172373,4871950287.46236
2024-05-27,69436.43,1604722197.8374028,170236.98081640564,4973642186.283543
2024-05-28,68398.39,2224860225.7992225,227906.47769327188,4921170932.555976
