nohup: ignoring input
[2026-01-13T11:38:58.619090Z] KC3 LAG agent started | alts=['UNI', 'SOL', 'ETH', 'BNB', 'DOGE', 'TON', 'SUI', 'XRP', 'TRX', 'ADA', 'LINK', 'XMR', 'XLM', 'ZEC', 'LTC', 'AVAX', 'HYPE', 'WLFI'] lookback_sec=14400.0 z_enter=1.6 loop=15.0s
[2026-01-13T11:38:58.632464Z] warming up history (1 pts)
[2026-01-13T11:57:13.960892Z] HOLD LONG SUIUSDT z=-1.222 best=SOL zbest=-1.459
[2026-01-13T11:57:28.969295Z] HOLD LONG SUIUSDT z=-1.430 best=SUI zbest=-1.430
[2026-01-13T11:57:43.974672Z] HOLD LONG SUIUSDT z=-1.383 best=SOL zbest=-1.552
[2026-01-13T11:57:58.978740Z] HOLD LONG SUIUSDT z=-1.617 best=SUI zbest=-1.617
[2026-01-13T11:58:13.984528Z] HOLD LONG SUIUSDT z=-1.574 best=SUI zbest=-1.574
[2026-01-13T11:58:28.990689Z] HOLD LONG SUIUSDT z=-1.673 best=SUI zbest=-1.673
[2026-01-13T11:58:43.999781Z] HOLD LONG SUIUSDT z=-1.627 best=SUI zbest=-1.627
[2026-01-13T11:58:59.025566Z] HOLD LONG SUIUSDT z=-1.668 best=SUI zbest=-1.668
[2026-01-13T11:59:14.031064Z] HOLD LONG SUIUSDT z=-1.717 best=SUI zbest=-1.717
[2026-01-13T11:59:29.036476Z] HOLD LONG SUIUSDT z=-1.637 best=SUI zbest=-1.637
[2026-01-13T11:59:44.041883Z] HOLD LONG SUIUSDT z=-1.740 best=SUI zbest=-1.740
[2026-01-13T11:59:59.047670Z] HOLD LONG SUIUSDT z=-1.563 best=SUI zbest=-1.563
[2026-01-13T12:00:14.054653Z] HOLD LONG SUIUSDT z=-1.808 best=SUI zbest=-1.808
[2026-01-13T12:00:29.068154Z] HOLD LONG SUIUSDT z=-1.618 best=SUI zbest=-1.618
[2026-01-13T12:00:44.074720Z] HOLD LONG SUIUSDT z=-1.664 best=SUI zbest=-1.664
[2026-01-13T12:00:59.082340Z] HOLD LONG SUIUSDT z=-1.798 best=SUI zbest=-1.798
[2026-01-13T12:01:14.091337Z] HOLD LONG SUIUSDT z=-1.742 best=SUI zbest=-1.742
[2026-01-13T12:01:29.098324Z] HOLD LONG SUIUSDT z=-1.871 best=SUI zbest=-1.871
[2026-01-13T12:01:44.106510Z] HOLD LONG SUIUSDT z=-1.722 best=SUI zbest=-1.722
[2026-01-13T12:01:59.120745Z] HOLD LONG SUIUSDT z=-1.700 best=SUI zbest=-1.700
[2026-01-13T12:02:14.133675Z] HOLD LONG SUIUSDT z=-1.678 best=SUI zbest=-1.678
[2026-01-13T12:02:29.141734Z] HOLD LONG SUIUSDT z=-1.689 best=SUI zbest=-1.689
[2026-01-13T12:02:44.155752Z] HOLD LONG SUIUSDT z=-1.531 best=SUI zbest=-1.531
[2026-01-13T12:02:59.168755Z] HOLD LONG SUIUSDT z=-1.569 best=SUI zbest=-1.569
[2026-01-13T12:03:14.183518Z] HOLD LONG SUIUSDT z=-1.703 best=SUI zbest=-1.703
[2026-01-13T12:03:29.191627Z] HOLD LONG SUIUSDT z=-1.929 best=SUI zbest=-1.929
[2026-01-13T12:03:44.205299Z] HOLD LONG SUIUSDT z=-1.773 best=SUI zbest=-1.773
[2026-01-13T12:03:59.220120Z] HOLD LONG SUIUSDT z=-1.954 best=SUI zbest=-1.954
[2026-01-13T12:04:14.226448Z] HOLD LONG SUIUSDT z=-1.768 best=SUI zbest=-1.768
[2026-01-13T12:04:29.233447Z] HOLD LONG SUIUSDT z=-1.598 best=TON zbest=1.831
[2026-01-13T12:04:44.240280Z] HOLD LONG SUIUSDT z=-1.578 best=TON zbest=1.828
[2026-01-13T12:04:59.247368Z] HOLD LONG SUIUSDT z=-1.573 best=TON zbest=1.854
[2026-01-13T12:05:14.256913Z] HOLD LONG SUIUSDT z=-1.559 best=TON zbest=1.932
[2026-01-13T12:05:29.263842Z] HOLD LONG SUIUSDT z=-1.465 best=TON zbest=2.001
[2026-01-13T12:05:44.272111Z] HOLD LONG SUIUSDT z=-1.564 best=TON zbest=1.927
[2026-01-13T12:05:59.279600Z] HOLD LONG SUIUSDT z=-1.501 best=TON zbest=1.947
[2026-01-13T12:06:14.288067Z] HOLD LONG SUIUSDT z=-1.453 best=TON zbest=1.959
[2026-01-13T12:06:29.297602Z] HOLD LONG SUIUSDT z=-1.525 best=TON zbest=1.944
[2026-01-13T12:06:44.306178Z] HOLD LONG SUIUSDT z=-1.561 best=TON zbest=1.973
[2026-01-13T12:06:59.313697Z] HOLD LONG SUIUSDT z=-1.615 best=TON zbest=1.960
[2026-01-13T12:07:14.321716Z] HOLD LONG SUIUSDT z=-1.771 best=TON zbest=1.815
[2026-01-13T12:07:29.329498Z] HOLD LONG SUIUSDT z=-1.690 best=TON zbest=1.912
[2026-01-13T12:07:44.336300Z] HOLD LONG SUIUSDT z=-1.695 best=TON zbest=1.909
[2026-01-13T12:07:59.344913Z] HOLD LONG SUIUSDT z=-1.708 best=TON zbest=1.854
[2026-01-13T12:08:14.355646Z] HOLD LONG SUIUSDT z=-1.821 best=SUI zbest=-1.821
[2026-01-13T12:08:29.368204Z] HOLD LONG SUIUSDT z=-1.883 best=SUI zbest=-1.883
[2026-01-13T12:08:44.375562Z] HOLD LONG SUIUSDT z=-1.852 best=SUI zbest=-1.852
[2026-01-13T12:08:59.383301Z] HOLD LONG SUIUSDT z=-1.774 best=TON zbest=1.886
[2026-01-13T12:09:14.391268Z] HOLD LONG SUIUSDT z=-1.659 best=TON zbest=1.976
[2026-01-13T12:09:29.399826Z] HOLD LONG SUIUSDT z=-1.640 best=TON zbest=1.963
[2026-01-13T12:09:44.407852Z] HOLD LONG SUIUSDT z=-1.560 best=TON zbest=1.985
[2026-01-13T12:09:59.415506Z] HOLD LONG SUIUSDT z=-1.550 best=TON zbest=1.968
[2026-01-13T12:10:14.424754Z] HOLD LONG SUIUSDT z=-1.628 best=TON zbest=1.933
[2026-01-13T12:10:29.432365Z] HOLD LONG SUIUSDT z=-1.647 best=TON zbest=1.938
[2026-01-13T12:10:44.439647Z] HOLD LONG SUIUSDT z=-1.472 best=TON zbest=2.039
[2026-01-13T12:10:59.449619Z] HOLD LONG SUIUSDT z=-1.485 best=TON zbest=2.010
[2026-01-13T12:11:14.462035Z] HOLD LONG SUIUSDT z=-1.482 best=TON zbest=1.995
[2026-01-13T12:11:29.471406Z] HOLD LONG SUIUSDT z=-1.484 best=TON zbest=1.961
[2026-01-13T12:11:44.479567Z] HOLD LONG SUIUSDT z=-1.430 best=TON zbest=1.972
[2026-01-13T12:11:59.488994Z] HOLD LONG SUIUSDT z=-1.497 best=TON zbest=1.924
[2026-01-13T12:12:14.497994Z] HOLD LONG SUIUSDT z=-1.424 best=TON zbest=1.902
[2026-01-13T12:12:29.506632Z] HOLD LONG SUIUSDT z=-1.509 best=TON zbest=1.745
[2026-01-13T12:12:44.518097Z] HOLD LONG SUIUSDT z=-1.570 best=TON zbest=1.716
